__contest__,__group__,BIB,ID,WithStatus([TotalRankp]),FLNAME,SEX,AGEGROUP1.NAMESHORT,ATF2,Swim,Transition1,Cycle,Transition2,Run,TIME
#1_Sprint,,9,9,1.,Senan Mc Donnell,m,M16-19,Galway Triathlon Club,00:09:54,00:00:39,00:33:58,00:00:33,00:17:53,01:02:59
#1_Sprint,,143,143,2.,David Higgins,m,M25-29,,00:11:37,00:00:49,00:33:56,00:00:50,00:18:11,01:05:25
#1_Sprint,,3,3,3.,Mathys Bocquet,m,M16-19,Predator Triathlon Club,00:10:40,00:00:40,00:35:48,00:00:33,00:18:05,01:05:48
#1_Sprint,,151,151,4.,Christopher Horgan,m,M20-24,Mallow TC,00:12:35,00:00:44,00:36:11,00:00:43,00:17:57,01:08:11
#1_Sprint,,5,5,5.,Patrick Cole,m,M16-19,,00:11:49,00:01:08,00:35:55,00:00:39,00:18:45,01:08:18
#1_Sprint,,367,367,6.,Colm Sheahan,m,M40-44,,00:12:57,00:01:03,00:34:44,00:01:01,00:18:44,01:08:31
#1_Sprint,,69,69,7.,Leo Corry,m,M25-29,Belpark Triathlon Club,00:14:40,00:00:55,00:35:04,00:00:50,00:17:01,01:08:32
#1_Sprint,,11,11,8.,Darragh Reynolds,m,M16-19,Predator Triathlon Club,00:11:51,00:00:48,00:36:27,00:00:33,00:19:10,01:08:52
#1_Sprint,,393,393,9.,Trevor Woods,m,M55-59,Cork Triathlon Club 2025,00:12:04,00:00:47,00:36:36,00:00:42,00:19:44,01:09:55
#1_Sprint,,286,286,10.,Eddy O’Byrne,m,M30-34,Belpark Triathlon Club,00:12:00,00:01:09,00:37:40,00:00:56,00:18:40,01:10:27
#1_Sprint,,8,8,11.,Ryan Lundy,m,M16-19,Northwest TC,00:11:25,00:00:50,00:37:38,00:00:45,00:20:30,01:11:09
#1_Sprint,,334,334,12.,Mark Pinfield,m,M45-49,Crosshaven Triathlon Club,00:15:41,00:00:53,00:34:04,00:00:54,00:19:37,01:11:12
#1_Sprint,,357,357,13.,Justin Ryan,m,M35-39,Tried and Tested,00:13:53,00:01:04,00:37:20,00:00:49,00:18:14,01:11:21
#1_Sprint,,1,1,14.,Kevin McNally,m,M16-19,Wicklow TC,00:11:28,00:00:49,00:38:33,00:00:38,00:19:51,01:11:21
#1_Sprint,,168,168,15.,Padraig Kelly,m,M40-44,Tralee Tri Club,00:13:39,00:00:54,00:37:32,00:00:41,00:18:57,01:11:45
#1_Sprint,,12,12,16.,Jude Williams,m,M16-19,Northwest TC,00:11:54,00:01:01,00:40:15,00:00:43,00:18:55,01:12:51
#1_Sprint,,65,65,17.,Cian Connolly,m,M20-24,Naas TC,00:13:54,00:01:51,00:36:46,00:01:00,00:19:47,01:13:20
#1_Sprint,,48,48,18.,Deirdre Casey,f,F40-44,Cork Triathlon Club 2025,00:12:39,00:00:51,00:38:18,00:00:49,00:20:43,01:13:22
#1_Sprint,,7,7,19.,Zoe Hughes,f,F16-19,,00:12:20,00:00:51,00:41:44,00:00:35,00:19:00,01:14:32
#1_Sprint,,195,195,20.,Cillian Mac Namara,m,M25-29,,00:15:58,00:01:08,00:37:39,00:01:01,00:19:18,01:15:06
#1_Sprint,,132,132,21.,Eoin Healy,m,M30-34,Crosshaven Triathlon Club,00:13:21,00:01:19,00:39:38,00:00:56,00:19:59,01:15:15
