__contest__,__group__,BIB,ID,WithStatus([AUTORANK.p]),DisplayName,GenderTI,Swim,Transition1,Bike,Transition2,Run,TIME
#1_Half Distance Triathlon,,15,49,1.,"Bagnall, Enda",Open,29:48,02:01,2:53:50,00:55,1:31:07,4:57:41
#1_Half Distance Triathlon,,28,106,2.,"Dunne, Jordan",Open,31:29,01:54,2:43:26,01:03,1:41:20,4:59:12
#1_Half Distance Triathlon,,103,72,3.,"Cassidy, Brendan",Open,40:09,01:40,2:45:24,01:30,1:40:58,5:09:41
#1_Half Distance Triathlon,,60,225,4.,"Ogle, Paul",Open,29:35,01:27,2:53:33,01:18,1:44:28,5:10:21
#1_Half Distance Triathlon,,151,230,5.,"Paul, Steven",Open,34:14,02:18,2:55:40,01:19,1:37:07,5:10:38
#1_Half Distance Triathlon,,223,250,6.,"Sheedy, David",Open,33:09,03:09,2:50:43,01:55,1:45:10,5:14:06
#1_Half Distance Triathlon,,197,41,7.,"Staunton, Niamh",Female,29:51,02:36,3:10:31,01:26,1:32:20,5:16:44
#1_Half Distance Triathlon,,73,48,8.,"Babington, Seamus",Open,35:04,02:17,2:53:45,01:17,1:48:20,5:20:43
#1_Half Distance Triathlon,,195,54,9.,"Boylan, Johnny",Open,32:14,01:58,3:02:58,01:02,1:49:49,5:28:01
#1_Half Distance Triathlon,,87,111,10.,"Fitzgerald, James",Open,33:16,02:23,3:07:04,01:17,1:46:39,5:30:39
#1_Half Distance Triathlon,,146,86,11.,"Crowley, Daragh",Open,37:31,02:27,3:06:35,01:23,1:46:12,5:34:08
#1_Half Distance Triathlon,,174,179,12.,"McCarthy, Kieran",Open,35:34,02:23,3:11:33,01:59,1:48:13,5:39:42
#1_Half Distance Triathlon,,121,42,13.,"Tate, Lorna",Female,33:03,02:03,3:07:51,01:26,1:59:01,5:43:24
#1_Half Distance Triathlon,,3,151,14.,"Keogh, Michael",Open,36:20,02:32,3:06:38,01:34,1:57:11,5:44:15
#1_Half Distance Triathlon,,23,53,15.,"Bowes, Mike",Open,36:08,01:43,3:08:03,00:21,1:58:12,5:44:27
